Year,Carrier Airline Code,Carrier Name,Airport,Airport Name,Total Arriving Flights,Flights Delay More Than 15 Min,Carrier Delay Count,Weather Delay,NAS Delay Count,Security Delay,Late Aircraft Delay,Cancelled Arriving Flight,Arrival Flight Diverted,Total Arrival Delay,Avg Carrier Delay,Avg Weather Delay,Avg NAS Delay,Avg Security Delay,Avg Late Aircraft Delay,Month
2025,WN,Southwest Airlines,ABQ,"Albuquerque, NM: Albuquerque International Sunport",851,131,47.48,0.87,15.43,0,67.22,13,0,6759,2517,44,711,0,3487,January
2025,WN,Southwest Airlines,ALB,"Albany, NY: Albany International",292,45,15.4,0.36,7.16,0,22.08,3,0,2134,551,48,375,0,1160,January
2025,WN,Southwest Airlines,AMA,"Amarillo, TX: Rick Husband Amarillo International",140,16,5.55,0,2.2,0,8.25,3,0,721,248,0,134,0,339,January
2025,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2293,342,101.79,7.01,108.59,2.44,122.18,130,0,17772,5713,1063,5341,120,5535,January
2025,WN,Southwest Airlines,AUS,"Austin, TX: Austin - Bergstrom International",2733,427,121.72,6.51,116.46,1.3,181.01,65,0,22364,6840,551,4102,40,10831,January
2025,WN,Southwest Airlines,BDL,"Hartford, CT: Bradley International",326,46,19.99,1.18,6.76,0,18.07,5,0,2169,968,58,317,0,826,January
2025,WN,Southwest Airlines,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",361,65,23.75,1.83,8.02,1.97,29.43,8,0,2948,900,133,276,39,1600,January
2025,WN,Southwest Airlines,BNA,"Nashville, TN: Nashville International",3879,527,168.81,5.42,111.42,1.66,239.69,163,1,29782,8763,731,3834,92,16362,January
2025,WN,Southwest Airlines,BOI,"Boise, ID: Boise Air Terminal",414,66,22.43,0,17.12,0,26.45,0,1,2400,774,0,550,0,1076,January
2025,WN,Southwest Airlines,BOS,"Boston, MA: Logan International",424,59,24.57,2.08,11.21,0,21.14,14,1,3329,1074,386,549,0,1320,January
2025,WN,Southwest Airlines,BUF,"Buffalo, NY: Buffalo Niagara International",391,80,34.52,1.3,13.04,1.49,29.64,7,0,4006,1531,236,700,84,1455,January
2025,WN,Southwest Airlines,BUR,"Burbank, CA: Bob Hope",1371,183,49.65,2.59,33.13,0.98,96.65,26,14,9456,2569,243,1406,67,5171,January
2025,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5341,640,195.98,10.64,152.28,12.45,268.66,244,1,33756,10973,835,6685,406,14857,January
2025,WN,Southwest Airlines,BZN,"Bozeman, MT: Bozeman Yellowstone International",107,36,12.95,0,11.44,0,11.61,1,3,1356,524,0,417,0,415,January
2025,WN,Southwest Airlines,CHS,"Charleston, SC: Charleston AFB/International",223,44,13.59,2.9,11.25,0,16.26,16,0,2519,520,454,632,0,913,January
2025,WN,Southwest Airlines,CLE,"Cleveland, OH: Cleveland-Hopkins International",378,71,29.86,1.89,11.89,0.56,26.79,9,0,3657,1256,258,474,22,1647,January
2025,WN,Southwest Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",230,41,14.28,2.6,9.83,0,14.29,3,0,2198,607,655,413,0,523,January
2025,WN,Southwest Airlines,CMH,"Columbus, OH: John Glenn Columbus International",945,185,79.12,3.06,31.17,1.89,69.77,25,1,9250,3972,288,1307,48,3635,January
2025,WN,Southwest Airlines,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",347,51,14.06,1.94,15.79,0,19.2,0,0,2273,473,308,607,0,885,January
2025,WN,Southwest Airlines,CRP,"Corpus Christi, TX: Corpus Christi International",71,8,5.11,0,0.1,0,2.79,4,0,493,347,0,8,0,138,January
2025,WN,Southwest Airlines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",170,38,14.4,0.39,7.29,0,15.93,1,0,2089,617,153,297,0,1022,January
2025,WN,Southwest Airlines,DAL,"Dallas, TX: Dallas Love Field",5594,805,241.09,9.5,198.25,3.92,352.24,283,11,39033,11187,1131,7198,127,19390,January
2025,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1339,202,56.93,4.99,73.24,0.6,66.24,113,5,10883,2885,279,3873,19,3827,January
2025,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6874,1083,272.71,17.5,354.1,7.99,430.71,97,5,52488,13436,1438,14220,272,23122,January
2025,WN,Southwest Airlines,DSM,"Des Moines, IA: Des Moines International",152,17,7.04,0.42,1.83,1,6.71,2,0,1042,546,22,83,24,367,January
2025,WN,Southwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",321,68,25.42,2.81,13.55,0,26.22,3,0,3656,1533,365,531,0,1227,January
2025,WN,Southwest Airlines,ECP,"Panama City, FL: Northwest Florida Beaches International",116,15,3.92,0.86,2.62,0,7.6,7,1,975,141,329,153,0,352,January
2025,WN,Southwest Airlines,ELP,"El Paso, TX: El Paso International",649,106,30.76,0.24,13.53,0,61.47,10,0,5206,1382,18,487,0,3319,January
2025,WN,Southwest Airlines,EUG,"Eugene, OR: Mahlon Sweet Field",105,13,4.79,0,0.43,0,7.77,0,0,576,186,0,14,0,376,January
2025,WN,Southwest Airlines,FAT,"Fresno, CA: Fresno Yosemite International",120,15,3.94,0,1.36,0,9.7,0,0,842,187,0,66,0,589,January
2025,WN,Southwest Airlines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1070,198,59.26,3.58,74.39,1.93,58.84,29,1,9416,3134,337,2802,185,2958,January
2025,WN,Southwest Airlines,GEG,"Spokane, WA: Spokane International",277,45,15.06,0,8.45,0,21.48,0,0,1752,592,0,285,0,875,January
2025,WN,Southwest Airlines,GRR,"Grand Rapids, MI: Gerald R. Ford International",159,39,14.74,2.34,8.93,0,12.99,0,0,2474,734,401,420,0,919,January
2025,WN,Southwest Airlines,GSP,"Greer, SC: Greenville-Spartanburg International",108,18,8.63,0.78,4.31,0,4.28,4,0,1504,815,36,265,0,388,January
2025,WN,Southwest Airlines,HDN,"Hayden, CO: Yampa Valley",58,13,4.55,0,5.08,0,3.37,3,0,880,304,0,312,0,264,January
2025,WN,Southwest Airlines,HNL,"Honolulu, HI: Daniel K Inouye International",1155,54,15.49,1.98,17.09,1,18.43,18,5,3926,1095,350,1096,19,1366,January
2025,WN,Southwest Airlines,HOU,"Houston, TX: William P Hobby",3799,550,170.8,10.58,154.62,1.86,212.14,244,4,27039,8903,1150,6498,42,10446,January
2025,WN,Southwest Airlines,HRL,"Harlingen/San Benito, TX: Valley International",190,19,4.27,0.7,1.5,0,12.53,9,2,874,153,140,101,0,480,January
2025,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",93,17,7.43,0,4.19,0.07,5.3,0,0,643,275,0,180,2,186,January
2025,WN,Southwest Airlines,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",152,19,8.26,0,1.45,0,9.3,8,1,912,338,0,29,0,545,January
2025,WN,Southwest Airlines,IND,"Indianapolis, IN: Indianapolis International",881,164,50.38,1.28,21.86,0.73,89.75,18,1,8445,2062,95,869,49,5370,January
2025,WN,Southwest Airlines,ISP,"Islip, NY: Long Island MacArthur",234,55,10.15,1.02,11.77,0.88,31.19,1,0,2916,461,125,468,14,1848,January
2025,WN,Southwest Airlines,ITO,"Hilo, HI: Hilo International",155,5,1,0.09,0.14,0,3.77,3,0,263,18,16,3,0,226,January
2025,WN,Southwest Airlines,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",122,24,6.66,1,3.74,0,12.61,4,0,1491,403,52,247,0,789,January
2025,WN,Southwest Airlines,JAX,"Jacksonville, FL: Jacksonville International",325,55,16.71,1.95,15.4,0,20.95,12,0,2664,642,246,692,0,1084,January
2025,WN,Southwest Airlines,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",279,9,5.8,0,2.23,0,0.97,4,2,482,374,0,75,0,33,January
2025,WN,Southwest Airlines,LAS,"Las Vegas, NV: Harry Reid International",6765,1138,229.64,26.67,450.95,4.47,426.27,82,9,65290,12614,2636,24197,292,25551,January
2025,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",1820,248,88.79,4.49,25.89,0.13,128.7,26,3,14864,5897,297,937,7,7726,January
2025,WN,Southwest Airlines,LBB,"Lubbock, TX: Lubbock Preston Smith International",202,28,6.55,1.34,1.41,0,18.7,3,0,1321,225,116,60,0,920,January
2025,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",995,160,44.35,4.24,62.9,1,47.51,41,3,8422,2075,693,2768,42,2844,January
2025,WN,Southwest Airlines,LGB,"Long Beach, CA: Long Beach Airport",1191,133,36.59,3.96,21.75,0,70.7,9,4,7125,1717,599,1093,0,3716,January
2025,WN,Southwest Airlines,LIH,"Lihue, HI: Lihue Airport",276,11,7.42,0,1.31,0,2.27,5,0,352,218,0,28,0,106,January
2025,WN,Southwest Airlines,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",209,27,8.53,0.28,2.92,0,15.27,7,0,1580,351,88,125,0,1016,January
2025,WN,Southwest Airlines,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",302,41,15.81,1.7,8.57,0,14.92,9,0,2287,884,305,295,0,803,January
2025,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1720,254,87.11,6.47,55,1,104.42,137,7,13321,4349,574,2919,20,5459,January
2025,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",3491,495,153.02,9.84,140.22,2.24,189.69,80,0,28353,7903,2193,5694,76,12487,January
2025,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",4689,725,211.44,11.13,199.16,2.24,301.03,101,7,36384,10126,1104,7238,60,17856,January
2025,WN,Southwest Airlines,MEM,"Memphis, TN: Memphis International",278,53,23.23,1.49,3,0,25.27,6,0,2577,1235,70,123,0,1149,January
2025,WN,Southwest Airlines,MHT,"Manchester, NH: Manchester Boston Regional",177,26,12.25,1.09,3.34,0,9.32,1,0,1767,663,310,200,0,594,January
2025,WN,Southwest Airlines,MIA,"Miami, FL: Miami International",420,81,22.99,0.87,33.15,0,24,9,0,4751,1454,90,2058,0,1149,January
2025,WN,Southwest Airlines,MKE,"Milwaukee, WI: General Mitchell International",722,125,43.84,2.59,15.17,0,63.4,18,1,6655,2460,565,564,0,3066,January
2025,WN,Southwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",449,91,36.91,1.68,19.66,1,31.75,6,0,3919,1784,42,621,21,1451,January
2025,WN,Southwest Airlines,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1482,243,76.59,5.13,55.44,0.1,105.74,139,1,13067,3212,769,2451,8,6627,January
2025,WN,Southwest Airlines,MTJ,"Montrose/Delta, CO: Montrose Regional",47,15,4.34,0,4.3,0,6.36,0,0,522,146,0,146,0,230,January
2025,WN,Southwest Airlines,MYR,"Myrtle Beach, SC: Myrtle Beach International",125,18,5.56,0.83,2.67,0,8.93,8,1,1017,209,79,153,0,576,January
2025,WN,Southwest Airlines,OAK,"Oakland, CA: Metro Oakland International",2447,267,87.39,3.7,25.69,0,150.21,27,0,12924,3905,318,939,0,7762,January
2025,WN,Southwest Airlines,OGG,"Kahului, HI: Kahului Airport",505,18,5.55,0,4.24,0,8.21,10,0,1359,474,0,512,0,373,January
2025,WN,Southwest Airlines,OKC,"Oklahoma City, OK: Will Rogers World",526,83,29.65,0,12.86,0.49,40,9,0,4163,1823,0,447,26,1867,January
2025,WN,Southwest Airlines,OMA,"Omaha, NE: Eppley Airfield",619,94,33.38,1.89,18.65,0,40.08,8,2,4996,1893,88,940,0,2075,January
2025,WN,Southwest Airlines,ONT,"Ontario, CA: Ontario International",877,99,32.36,2,15.57,0,49.07,17,9,4506,1340,48,672,0,2446,January
2025,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",381,51,20.04,0.69,8.71,0,21.56,8,0,3138,940,287,374,0,1537,January
2025,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",232,33,11.12,2.18,8.97,0,10.73,1,0,2259,592,430,516,0,721,January
2025,WN,Southwest Airlines,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",212,56,13.88,2.38,24.11,0,15.63,4,0,3408,660,545,1045,0,1158,January
2025,WN,Southwest Airlines,PDX,"Portland, OR: Portland International",623,109,39.62,0.69,21.63,0,47.07,1,1,5097,1770,35,677,0,2615,January
2025,WN,Southwest Airlines,PHL,"Philadelphia, PA: Philadelphia International",351,58,19.66,0.76,12.74,0,24.84,8,1,2906,664,53,549,0,1640,January
2025,WN,Southwest Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5388,714,217.26,14.42,138.67,1.91,341.74,82,3,37616,11237,1525,4535,36,20283,January
2025,WN,Southwest Airlines,PIT,"Pittsburgh, PA: Pittsburgh International",743,117,26.92,2.18,28.47,2.06,57.36,12,0,6029,1330,326,1016,61,3296,January
2025,WN,Southwest Airlines,PNS,"Pensacola, FL: Pensacola International",113,21,9.43,0.98,2.09,0.05,8.46,7,1,1399,340,484,103,1,471,January
2025,WN,Southwest Airlines,PSP,"Palm Springs, CA: Palm Springs International",208,19,5.16,0,3,0,10.85,0,0,613,139,0,96,0,378,January
2025,WN,Southwest Airlines,PVD,"Providence, RI: Rhode Island Tf Green International",342,62,27.26,1.79,11.71,0,21.24,8,1,3167,1187,252,429,0,1299,January
2025,WN,Southwest Airlines,PWM,"Portland, ME: Portland International Jetport",97,16,10.35,0.79,2.79,0,2.07,1,0,1100,497,155,254,0,194,January
2025,WN,Southwest Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",662,108,40.01,1.53,20.73,0,45.73,16,0,5460,1525,120,864,0,2951,January
2025,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",164,27,12.44,0,6.85,0,7.72,3,0,1398,762,0,208,0,428,January
2025,WN,Southwest Airlines,RNO,"Reno, NV: Reno/Tahoe International",656,92,33.44,0,11.66,0,46.9,2,4,3936,1358,0,421,0,2157,January
2025,WN,Southwest Airlines,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",155,35,15.44,1.54,6.39,0,11.64,1,2,1590,532,313,292,0,453,January
2025,WN,Southwest Airlines,RSW,"Fort Myers, FL: Southwest Florida International",763,144,43.1,4.09,47.42,0,49.39,15,2,7939,2290,735,1759,0,3155,January
2025,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2521,396,122.2,8.49,80.63,0.3,184.39,41,14,21291,6401,824,4248,14,9804,January
2025,WN,Southwest Airlines,SAT,"San Antonio, TX: San Antonio International",1241,208,73.14,1.39,42.41,0.7,90.37,51,0,10258,3572,204,1783,14,4685,January
2025,WN,Southwest Airlines,SAV,"Savannah, GA: Savannah/Hilton Head International",161,25,7.91,1.08,7.93,0,8.09,14,0,1224,433,102,363,0,326,January
2025,WN,Southwest Airlines,SBA,"Santa Barbara, CA: Santa Barbara Municipal",124,18,4.81,0,0.5,0,12.69,0,0,875,205,0,12,0,658,January
2025,WN,Southwest Airlines,SDF,"Louisville, KY: Louisville Muhammad Ali International",379,63,20.55,1.47,10.6,0.95,29.43,13,1,3754,1556,434,532,58,1174,January
2025,WN,Southwest Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",520,85,35.02,0.86,17.46,0.34,31.31,0,1,4351,1731,32,734,12,1842,January
2025,WN,Southwest Airlines,SFO,"San Francisco, CA: San Francisco International",591,118,39.53,1.35,32.64,0,44.48,1,0,6032,2115,66,1273,0,2578,January
2025,WN,Southwest Airlines,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",2066,214,48.94,2.52,16.42,0.95,145.16,26,0,12810,2647,178,505,59,9421,January
2025,WN,Southwest Airlines,SJU,"San Juan, PR: Luis Munoz Marin International",310,65,21.19,2.32,21.71,0,19.78,1,5,2415,706,348,695,0,666,January
2025,WN,Southwest Airlines,SLC,"Salt Lake City, UT: Salt Lake City International",962,166,65.14,0.81,24.31,0,75.74,6,1,6933,2913,26,711,0,3283,January
2025,WN,Southwest Airlines,SMF,"Sacramento, CA: Sacramento International",2283,280,79.09,2.86,34.92,0,163.13,25,2,13312,3425,176,1194,0,8517,January
2025,WN,Southwest Airlines,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",1119,123,34.15,0.63,17.9,1,69.32,14,14,6569,1643,19,1261,36,3610,January
2025,WN,Southwest Airlines,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",290,49,15.28,0.68,14.71,0.71,17.62,2,0,2723,941,122,672,27,961,January
2025,WN,Southwest Airlines,STL,"St. Louis, MO: St Louis Lambert International",3015,417,141.84,3.12,92.41,2.27,177.36,210,10,20968,7292,322,3880,61,9413,January
2025,WN,Southwest Airlines,TPA,"Tampa, FL: Tampa International",1850,334,99.44,3.7,109.13,2.04,119.69,45,0,16872,5883,443,4084,37,6425,January
2025,WN,Southwest Airlines,TUL,"Tulsa, OK: Tulsa International",374,54,20.88,0.87,5.08,1,26.17,16,1,2622,1002,75,180,43,1322,January
2025,WN,Southwest Airlines,TUS,"Tucson, AZ: Tucson International",366,59,20.09,0,10.24,0,28.67,4,0,2526,742,0,345,0,1439,January
2025,WN,Southwest Airlines,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",97,13,1.02,1.5,4.63,0,5.84,8,0,929,165,384,183,0,197,January
2024,WN,Southwest Airlines,ABQ,"Albuquerque, NM: Albuquerque International Sunport",989,204,67.28,3.19,18.44,0.06,115.03,4,0,11910,2856,441,540,3,8070,December
2024,WN,Southwest Airlines,ALB,"Albany, NY: Albany International",280,70,29.91,0.47,5.77,0,33.85,1,3,3732,1594,24,239,0,1875,December
2024,WN,Southwest Airlines,AMA,"Amarillo, TX: Rick Husband Amarillo International",164,33,8.58,0.31,1.3,0,22.8,1,0,2420,346,31,89,0,1954,December
2024,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2505,498,140.79,8.12,134.05,2.01,213.04,6,2,27650,7034,907,6018,92,13599,December
2024,WN,Southwest Airlines,AUS,"Austin, TX: Austin - Bergstrom International",3156,616,182.7,5.65,150.81,1.29,275.55,14,1,34979,9242,736,7093,44,17864,December
2024,WN,Southwest Airlines,BDL,"Hartford, CT: Bradley International",358,77,30.62,0,6.73,0,39.65,0,0,4273,1536,0,236,0,2501,December
2024,WN,Southwest Airlines,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",407,80,27.51,1.35,6.71,0,44.44,1,0,5296,1368,296,270,0,3362,December
2024,WN,Southwest Airlines,BNA,"Nashville, TN: Nashville International",4301,803,228.66,6.43,104.31,6.16,457.44,8,1,44612,11030,559,4025,419,28579,December
2024,WN,Southwest Airlines,BOI,"Boise, ID: Boise Air Terminal",452,108,41.36,0,16.9,0.42,49.33,3,3,5117,1615,0,683,19,2800,December
2024,WN,Southwest Airlines,BOS,"Boston, MA: Logan International",545,123,42.34,0.57,38.12,0,41.98,9,0,6766,2572,29,1950,0,2215,December
2024,WN,Southwest Airlines,BUF,"Buffalo, NY: Buffalo Niagara International",428,81,31.45,0,10.37,0,39.18,1,0,5535,1840,0,399,0,3296,December
2024,WN,Southwest Airlines,BUR,"Burbank, CA: Bob Hope",1679,313,91.45,4.54,47.58,0,169.43,13,8,19481,5421,392,1894,0,11774,December
2024,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5971,1009,295.57,6.95,183.99,5.13,517.35,15,4,53012,14438,796,6558,247,30973,December
2024,WN,Southwest Airlines,BZN,"Bozeman, MT: Bozeman Yellowstone International",136,23,9.16,0,0.63,1,12.21,0,0,1161,509,0,30,18,604,December
2024,WN,Southwest Airlines,CHS,"Charleston, SC: Charleston AFB/International",235,69,22.1,1.51,11.54,1.22,32.62,0,0,3539,838,229,452,36,1984,December
2024,WN,Southwest Airlines,CLE,"Cleveland, OH: Cleveland-Hopkins International",387,91,46.56,0,11.31,0,33.13,1,1,3822,1771,0,413,0,1638,December
2024,WN,Southwest Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",276,74,27.91,0.49,10.36,0.71,34.52,0,0,4234,1632,34,439,17,2112,December
